vehicle1,vehicle2,vehicle1_route,vehicle2_route,weighted_congestion_score
3,22,1,2,0.06531140208244324
22,185,1,1,0.2339867651462555
108,227,1,1,0.05606500059366226
2,121,1,2,0.5
34,167,1,1,0.03291933983564377
22,185,1,1,0.02879716269671917
22,185,2,2,0.08820628374814987
145,206,1,1,0.21096253395080566
145,206,2,1,0.21096253395080566
77,120,2,2,0.052873484790325165
22,133,1,1,0.05572937801480293
134,239,1,2,0.10538485646247864
203,242,2,1,0.05646064877510071
14,238,2,1,0.06594397127628326
14,238,2,2,0.10845234245061874
115,154,1,1,0.057036515325307846
22,185,1,1,0.030981646850705147
145,206,1,1,0.21819853782653809
145,206,2,1,0.21819853782653809
2,121,1,2,0.5
2,121,2,1,0.5
1,213,1,1,0.26920855045318604
88,237,2,1,0.1251937747001648
77,120,2,2,0.05311897024512291
77,120,1,1,0.095883809030056
2,121,1,2,0.05270746350288391
77,120,1,1,0.09848591685295105
2,121,2,1,0.5
2,121,2,1,0.5
9,216,1,2,0.12574103474617004
146,152,2,2,0.03831814229488373
146,168,1,2,0.0577082522213459
146,168,1,2,0.04860273748636246
145,206,2,1,0.1495092511177063
78,203,2,2,0.08133731782436371
157,194,2,1,0.06479623168706894
117,183,1,1,0.04712573066353798
201,206,2,2,0.271441251039505
146,168,1,2,0.07198423892259598
15,150,1,1,0.08029621839523315
27,159,1,2,0.0466977059841156
166,233,1,2,0.1003449484705925
146,168,1,2,0.10506010800600052
210,215,1,1,0.037752632051706314
83,212,1,1,0.04909341409802437
102,198,1,2,0.25263074040412903
1,8,1,1,0.03046419285237789
7,64,1,1,0.03033572994172573
50,241,1,1,0.041729316115379333
77,120,2,2,0.10766923427581787
2,121,2,1,0.5
77,120,2,2,0.09865306317806244
