vehicle1,vehicle2,vehicle1_route,vehicle2_route,weighted_congestion_score
45,229,2,1,0.1043512374162674
45,149,2,1,0.0
191,217,1,1,0.0
30,84,1,1,0.0
30,84,1,1,0.11868971586227417
214,219,1,2,0.34011900424957275
8,187,2,1,0.0
30,84,1,1,0.03625606372952461
5,141,1,2,0.0
30,84,1,1,0.21507225930690765
37,104,2,2,0.0
37,104,2,2,0.0
45,143,2,2,0.0
7,21,1,1,0.0522957406938076
174,193,2,1,0.0
8,79,1,1,0.0
8,79,1,1,0.2523832321166992
17,65,2,1,0.23936259746551514
25,183,1,2,0.0
17,25,2,1,0.1324976682662964
11,28,1,1,0.21316584944725037
8,24,2,1,0.0
8,24,2,1,0.0
32,33,2,2,0.0
214,219,1,2,0.04141493886709213
17,212,1,2,0.0
185,229,1,1,0.0
24,240,2,2,0.0
20,144,1,2,0.0
32,250,1,1,0.0
12,49,2,2,0.5163763761520386
70,74,1,1,0.0460575707256794
32,180,1,2,0.0
13,111,1,1,0.0
32,180,1,2,0.0
68,93,1,1,0.030698571354150772
68,93,1,1,0.0
20,144,1,2,0.0
35,140,1,1,0.0
23,144,1,2,0.0
56,129,1,1,0.0
82,93,1,1,0.0
32,161,1,1,0.0
7,21,1,1,0.5354094505310059
32,33,2,2,0.0
32,33,2,2,0.0
22,40,1,2,0.0
22,152,1,1,0.0
138,175,2,1,0.0
5,238,1,1,0.20337580144405365
7,71,1,2,0.0
92,99,1,1,0.0
8,79,1,1,0.0
13,118,1,1,0.1242794394493103
13,37,1,1,0.6640288829803467
32,207,1,1,0.0
104,163,1,2,0.0
46,201,2,2,0.07446066290140152
5,141,1,2,0.0
46,201,2,2,0.07372113317251205
86,158,1,1,0.0
25,238,2,2,0.0
150,165,2,1,0.0
77,145,2,2,0.0
137,143,2,2,0.19037503004074097
20,144,1,2,0.0
30,31,2,1,0.0
31,87,1,2,0.0
93,226,1,1,0.26923659443855286
10,151,1,2,0.04365302994847298
35,239,2,1,0.045619234442710876
45,53,1,1,0.08457174897193909
24,240,2,2,0.0
45,53,1,1,0.0
3,24,2,2,0.7284393310546875
45,185,2,2,0.0
15,65,1,2,0.02273104526102543
15,65,1,2,0.0
11,239,2,1,0.0
77,145,2,2,0.0
77,242,1,2,0.0
48,205,1,1,0.0
15,208,1,1,0.0
27,204,1,2,0.0
27,204,1,2,0.29215025901794434
103,151,2,1,0.0
61,192,2,1,0.0
102,193,1,1,0.04358828812837601
8,45,2,2,0.0
2,243,2,2,0.0
61,90,1,2,0.0
68,82,1,1,0.0
135,229,1,2,0.0
32,180,1,2,0.0
34,59,1,2,0.0
26,86,1,1,0.0
199,238,2,2,0.0
30,84,2,2,0.0
11,35,1,2,0.0
15,208,1,1,0.0
147,185,2,1,0.0
138,175,1,1,0.0
51,85,2,2,0.0
5,141,1,2,0.3000858724117279
141,238,2,2,0.0
46,201,2,2,0.07370124012231827
46,201,2,2,0.0740586593747139
5,238,1,2,0.0
46,201,2,2,0.17506630718708038
199,238,2,2,0.0
214,219,1,2,0.0
19,233,2,1,0.0
35,137,2,2,0.0
45,84,1,1,0.0
84,157,2,2,0.0
5,10,2,1,0.0
46,201,2,2,0.14289696514606476
161,207,1,1,0.0
5,238,1,1,0.07380150258541107
5,238,1,1,0.0
5,238,1,1,0.0
4,5,2,2,0.0
45,149,2,1,0.0
77,145,1,1,0.0
30,45,1,1,0.0
30,45,1,1,0.0
