vehicle_1,vehicle_2,vehicle_1_route,vehicle_2_route,weighted_congestion_score
1,113,2,1,0.9888609648495754
2,59,1,1,2.585778415608628
2,59,1,2,0.9340642736834341
2,128,1,1,2.646124100724864
2,128,1,2,2.9894393778714665
2,128,2,2,1.1794334802042565
2,333,1,1,1.8710283125387417
2,828,1,1,0.2093117808441992
3,10,1,1,0.5084812076821297
3,64,1,2,6.851503632784578
3,64,2,1,1.136921564288839
3,132,1,2,6.161901847592776
3,197,2,1,1.5692838856954854
3,208,2,1,0.3807704350189782
3,275,1,2,0.0
3,350,2,2,1.161507992937835
3,379,2,1,0.8627527506867056
3,452,2,2,3.0739691232303388
3,486,2,1,1.7944351164812873
3,506,2,1,1.4545258798516283
3,620,2,2,1.844531056697135
3,659,1,2,0.41009413386834687
3,669,1,2,4.644505765828271
3,669,2,1,2.8751893496181102
3,679,2,1,5.0242291673743535
3,699,1,1,6.1364666457424715
3,699,2,2,3.9559110122906715
3,737,1,2,0.5727224847002343
3,814,1,2,0.7771192061095664
3,814,2,2,3.0003896714352614
3,822,1,2,0.0
3,845,2,1,0.41343851461358627
3,871,2,2,0.893530351750249
3,876,1,1,0.8246640629104045
3,876,2,1,0.8246640629104045
3,903,1,2,2.4395951240673637
3,907,2,2,0.9309304722728385
3,958,1,2,0.497277997698122
3,984,1,1,2.4495317929355056
4,88,1,1,1.4088633963635944
4,243,2,1,0.4182233671286922
4,243,2,2,1.1569607962342412
4,272,1,1,0.7618667611493266
4,272,2,2,0.8892387497053724
4,430,1,1,0.8568926488162028
4,430,2,1,0.2754878464637226
4,459,1,1,0.6450588883434957
4,649,1,1,7.200794648967482
4,649,1,2,0.9095476452066968
4,649,2,1,8.358918066156898
4,805,1,1,0.31366475688295514
4,805,2,1,0.7599114075358626
4,805,2,2,0.3742415155417613
5,328,1,1,1.6973165428024977
6,15,1,1,0.0
6,69,2,2,0.4033312999877379
6,115,1,2,0.43472741362426703
6,149,1,1,0.24320368980048224
6,215,2,1,2.8053178731943182
6,219,1,1,0.41248209883500553
6,276,1,1,1.2241841537274756
6,283,2,2,0.9936027519987223
6,298,2,2,0.31637983521392093
6,306,2,1,0.4662367438055838
6,342,1,2,1.422693347762387
6,356,1,2,0.5466621771999329
6,363,1,1,0.0
6,466,2,1,1.0890308564537634
6,546,2,2,0.7282766594556656
6,549,2,1,0.44153602535989855
6,604,2,2,1.0282306697093544
6,615,1,2,1.0666917876541329
6,657,1,1,1.713563801379045
6,657,1,2,1.713563801379045
6,660,1,2,0.8106478633219714
6,722,2,1,0.42162916882248413
6,790,2,1,0.7415895770714231
6,790,2,2,1.4302014214933079
6,883,1,1,1.3462474084259195
6,947,1,2,1.0290003245900723
6,993,1,1,1.850761179977337
6,993,1,2,1.850761179977337
7,36,1,1,3.8878799417847687
7,48,1,1,1.9064171309321298
7,48,1,2,2.861590881794117
7,48,2,1,2.9489739054166733
7,48,2,2,1.9064171309321298
7,65,1,1,0.30834038717060025
7,65,1,2,0.30834038717060025
7,180,1,1,3.3432039054314218
7,277,2,2,0.39291659258542344
7,344,2,1,1.4936943906116815
7,489,1,2,0.4908901373613853
7,581,1,1,0.4262656672449816
7,714,1,1,0.43136738930470797
7,928,1,2,0.48064246855984694
7,966,1,1,0.44523929583652766
7,966,2,2,1.5098801110278952
8,161,1,2,1.6996227532736845
8,243,1,1,4.545862196181546
8,243,1,2,5.0468363241297265
8,243,2,2,0.3976858499407232
8,303,1,1,0.47006584637077914
8,401,1,2,0.34078096761792087
8,507,1,1,0.6764778643810796
8,850,1,1,1.3562662701966968
8,850,1,2,1.3562662701966968
8,850,2,1,1.09171384145652
8,850,2,2,1.09171384145652
9,430,1,1,3.5602251131228533
9,430,1,2,1.6151373355648841
9,430,2,1,1.8352507455038438
9,430,2,2,1.6943700578987482
10,57,1,1,0.0
10,57,2,1,1.9426650018961515
10,64,1,2,4.613254813764229
10,86,1,2,1.7535342159352414
10,91,1,2,0.3714759611602654
